,1 year,     True ,    False ,2 year,     True ,    False ,   All   
Mean,,70.4,56.3,,64.5333,57.2105,
Range,,59-85,  29 - 72 ,,  48 - 85 ,  29 - 72 ,
Median,,70.5,56.5,,64,59,
Gender,,,,,,,
F,,0,9,,2,7,9
M,,9,15,,12,12,24
T Stage,,,,,,,
1,,0,1,,0,1,1
2,,4,14,,8,10,18
3,,0,2,,2,0,2
4,,4,5,,3,6,9
4a                   ,,2,2,,2,2,4
N Stage,,,,,,,
0,,2,5,,1,6,7
1,,2,5,,2,5,7
2a                   ,,1,0,,1,0,1
2b                   ,,4,12,,8,8,16
2c                   ,,1,2,,3,0,3
Pathological Site,,,,,,,
Floor of mouth       ,,2,7,,4,5,9
Oropharynx           ,,0,3,,0,3,3
Other                ,,5,8,,5,8,13
Tongue               ,,3,6,,6,3,9
